,0,1,2,3
2771,2020.05.18.,서울파이낸스,재난지원금 지급 일주일···유통가 '형평성' 논란,"맥주(12.4%)와 소주(7.2%)보다 증가율이 높았다. 과일채소(14.2%), 식자재(16%), 도시락 등 간편식품(10~15%), 생수... 긴급재난지원금은 코로나19로 어려워진 소상공인·영세자영업자 등 가계 소득보전 외에 소비 진작과 지역..."
2772,2020.05.18.,충청투데이,이제우린 충남사랑 '쭉~',"이 기금은 맥키스컴퍼니의 주력상품인 소주 '이제우린' 한 병당 5원씩 적립해 지원되는 지역사랑 장학금으로, 매년 1000만원씩 총 10년간 총 1억원의 장학기금을 재단에 지원된다.이날 기부금을 전달한 조웅래..."
2773,2020.05.18.,불교공뉴스,"㈜맥키스컴퍼니, 이제우린 충남사랑 장학기금 전달","이 기금은 맥키스社의 주력상품인 소주 '이제우린' 한 병당 5원씩 적립하여 지원되는 지역사랑 장학금으로 매년 일천만원씩 총 10년간 일억원의 장학기금을 재단에 지원하게 되며, 이번 기탁이 그 첫 번째 순서이다...."
2774,2020.05.18.,에너지경제,재난지원금 효과에 유통시장 활기 되찾아,"반면 맥주는 8.3%, 소주·막걸리는 4.1% 증가에 그쳤다. GS25는 재난지원금이 지급된 후 첫 주말(16∼17일) 헤어... 지역 의류 가두점이 재난지원금 사용처로 분류됨에 따라 최근 소비자들의 문의가 급증하고 있기..."
2775,2020.05.18.,노컷뉴스,"향토기업 (주)맥키스컴퍼니, 충남인재육성재단에 장학금 1천만원 기탁",이 기금은 맥키스사의 주력상품인 소주 '이제우린' 한 병당 5원씩 적립해 지원하는 지역사랑 장학금으로 매년 1천만원씩 10년간 총 1억원의 장학기금을 재단에 지원하게 되며 이번 기탁이 그 첫 번째다. 이날 기부금을...
2776,2020.05.18.,당진신문,"㈜맥키스컴퍼니, 이제우린 충남사랑 장학기금 전달","이 기금은 맥키스社의 주력상품인 소주 '이제우린' 한 병당 5원씩 적립하여 지원되는 지역사랑 장학금으로 매년 일천만원씩 총 10년간 일억원의 장학기금을 재단에 지원하게 되며, 이번 기탁이 그 첫 번째 순서다. 이날..."
2777,2020.05.18.,이데일리언론사 선정,"육군 소장급 지휘관, '코로나 지침' 어겨 전보 조치","극복과 지역경제 활성화 등을 도모하기 위해 마련한 회식 자리에 사단장과 사단 참모장, 예하 연대장, 주요 참모, 군사안보지원부대장 등 9명이 참석했다. 1시간 40여분 동안 총 18명이 소주 각 1병씩 가량을 마신 것으로..."
2778,2020.05.18.,불교공뉴스,"맥키스컴퍼니, 천안사랑장학재단에 장학금 기부","이번 기부금은 맥키스컴퍼니와 천안시가 지난해 7월 인재육성 장학금 조성을 위한 업무협약을 체결하고, 2019년 한 해 동안 천안지역 내 일반 음식점에서 '이제우린' 소주를 1병당 판매할 때마다 5원씩 적립하며..."
2779,2020.05.18.,오마이뉴스,"문 닫은 양조장, 창업 중심 '막걸리학교'로 맥 잇는다",일제강점기 시절부터 이어온 동해지역 막걸리는 양조장막걸리 중심으로 생산되다가 1960년대 한때는 채산성을 위해 '만경소주'까지 생산 공급되기도 했다. 지금은 대부분 중단되고 송정막걸리 한곳만 3대째 맥을 이어오고...
2780,2020.05.18.,중도일보,"맥키스컴퍼니, 천안사랑장학재단에 1314만원 전달","이번 기부금은 맥키스컴퍼니와 천안시가 지난해 7월 인재육성 장학금 조성을 위한 업무협약을 체결하고, 2019년 한 해 동안 천안지역 내 일반 음식점에서 '이제우린' 소주 판매시 병당 5원씩 적립하며 마련됐다...."
2781,2020.05.18.,뉴스1언론사 선정,재난지원금 꽂히니…늘 먹던 '소맥' 대신 양주·와인 찾았다(종합),"이에 CU는 5월 한 달간 지역화폐(제로페이·코나카드) 사용 고객들에게 5% 할인 혜택을 제공하는 지역화폐... 반면 소주·막걸리, 맥주는 4.1~8.3%로 소폭 증가했다. 편의점 업계에서는 ""고가 상품의 일상적 수요가 아주..."
2782,2020.05.18.,매일신문언론사 선정,[김수환 추기경의 대구경북 발자취] ⑦평생 잊지 못한 본당신부 생활,수업이 끝나면 남성 신자들과 소주잔을 기울였다. 대구 출장을 가면 빨리 돌아가고 싶었다. 신자들도... 성당 마당에는 김천지역 초기 순교자 현양비도 세웠다. 김 신부는 특히 교육사업에 열정을 바쳤다. 가실성당 시절...
2783,2020.05.18.,중부매일,"맥키스컴퍼니, 천안사랑장학재단에 장학금 기탁","이번 기부금은 맥키스컴퍼니와 천안시가 지난해 7월 인재육성 장학금 조성을 위한 업무협약을 체결하고, 2019년 한 해 동안 천안지역 내 일반 음식점에서 '이제우린' 소주를 1병당 판매할 때마다 5원씩 적립하며..."
2784,2020.05.18.,아시아경제언론사 선정,"하나로마트·편의점 웃고…동네가게도 ""모처럼 손님 구경""","맥주는 8.3%, 소주ㆍ막걸리는 4.1% 늘었다. CU는 얼음(65.9%), 아이스 드링크(40.1%), 아이스크림(38.0%), 기능... 서울 신촌 지역에서 식당을 운영하는 이모씨는 ""지난 주말 매출이 2배 이상 늘었다""며 ""재난지원금을 쓰기..."
2785,2020.05.18.,제주의소리,"""이태원클럽 무슨 상관?"" 불야성 제주 유흥가엔 느슨해진 청춘들 '북적'","밀집지역을 지난 14일 밤부터 16일 새벽까지 3일간 현장 취재했다. 현장은 한마디로 '불야성'이었다. 도내... 마스크를 턱에 걸친 채 술집을 향하던 박 모씨(30)는 신분을 밝힌 기자가 '무슨 일로 나왔느냐'고 묻자  ""소주..."
2786,2020.05.18.,대전일보,"[사진뉴스] 맥키스컴퍼니, 천안사랑장학재단에 장학금 1314만여 원 기부",맥키스컴퍼니는 지난해 7월 천안시와 인재육성 장학금 조성을 위한 업무협약을 체결하고 2019년 한 해 동안 천안지역 일반 음식점에서 '이제우린' 소주를 1병 당 판매할 때마다 5원씩 적립해 장학금을 마련했다. 사진...
2787,2020.05.18.,아주경제,"[인터뷰] 신동헌 시장 ""남한산성 막걸리 축제 광주 대표하는 문화이벤트로 육...",남한산성 막걸리가 지역을 대표하는 브랜드 중 하나라고 치켜세우는 신 시장을 아주경제가 만나 간략하게... 남한산성 소주를 마셨을 것이기 때문이다. 남한산성 일대는 예나 지금이나 맑은 물과 청정한 곡식이 있다....
2788,2020.05.18.,이투데이,"편의점에 재난지원금 소비 몰렸다…""생필품ㆍ고가품 매출 치솟아”","맥주는 8.3%, 소주·막걸리는 4.1% 늘었다. 이 밖에도 샴푸, 비누, 칫솔 같은 생활용품들도 전체적으로 매출... CU는 우선 지자체 재난지원금 소비 활성화를 위해 5월 한 달 간 지역화폐(제로페이, 코나카드) 사용..."
2789,2020.05.18.,한국면세뉴스,"""긴급재난지원금, 어떤 물건을 샀을까?"" 생필품 매출 증가 속에 면도기 男화장...","그러나 편의점 집계여서 지역 경제에 관한 영향은 차후 두고 봐야할 듯하다. 편의점 세븐일레븐이 지난... 맥주는 8.3%, 소주/막걸리는 4.1% 늘었다. 이들 상품들은 편의점에서 고가상품에 속하는 만큼 일상적 수요가..."
2790,2020.05.18.,뉴스토마토,"[IB토마토]롯데칠성, 충북소주 매물로…매각 논의는 스톱?","롯데칠성(005300)음료는 충북 지역 '시원소주'를 생산하는 계열사 충북소주를 매물로 내놨던 것으로 알려졌다. 다만, 최근 많은 매각 건이 그러하듯 코로나19 여파로 인한 저가 매각을 피하기 위해 매각 절차를..."
2791,2020.05.18.,조선일보,[모닝브리핑] 윤미향―위안부 피해자 쉼터 의혹 총정리,"ly/2TiuXlE) ②윤미향 부부, 여당 이규민, 건축업자… 쉼터 매입에 운동권·지역언론 인맥 얽혀 이 쉼터 부지를... 그는 페이스북에서 쉼터를 ‘안성 힐링센타’라고 밝혔는데, 사진에는 소주·맥주와 ‘도데카이 라멘..."
2792,2020.05.17.,뉴시스언론사 선정,"[단독]전방 사단장, 참모들과 폭탄주 파티…코로나 권고 무시",이들은 이날 강원도 접경지역 모 읍내 음식점에서 오후 6시 30분부터 8시 10분까지 약 1시간 40여분 동안 소주와 맥주를 곁들인 폭탄주를 돌리면서 한 명 당 2~3병 가량씩 술을 마셨다. 통상 군은 사단장이 자리를 비우면...
