,0,1,2,3
815,2020.11.25.,브릿지경제,"경북 안동시, 조선시대 한글 고조리서 “음식절조” 발굴","이날 궁중음식문화재단 한복려 이사장은 ‘한국 고조리서의 발견과 재현 그리고 <음식절조>’라는 제목으로 기조강연을 하며, 이어 한국국학진흥원 임노직 수석연구위원, 경북대학교 김귀영 명예교수, 한국전통주연구..."
816,2020.11.25.,에너지경제,조선시대 한글 고조리서 ‘음식절조’ 발견,"이날 궁중음식문화재단 한복려 이사장은 ‘한국 고조리서의 발견과 재현 그리고 <음식절조>’라는 제목으로 기조강연을 하며, 이어 한국국학진흥원 임노직 수석연구위원, 경북대학교 김귀영 명예교수, 한국전통주연구..."
817,2020.11.25.,이코노믹리뷰,"GS25, 전통주 발굴 나선다… 전통 소주 '밤빛머루' 출시",GS25 전통주 발굴은 오프라인 점포 네트워크를 십분 활용해 진행됐다. 먼저 오프라인 점포를 지도하는 영업 담당 직원들에게 정기적으로 지역에서는 인기는 있으나 전국적으로 알려지지 않은 전통주에 대한 문의를...
818,2020.11.25.,데일리안,"GS25, 전북 무주 머루로 만든 전통 소주 ‘밤빛머루’ 선보여",GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 발굴한 ‘밤빛머루’를 오는 26일부터 선보인다. GS25 전통주...
819,2020.11.25.,뉴시스,"GS25, 무주 머루로 만든 '밤빛머루' 출시",GS25가 전국에 위치한 오프라인 점포 네트워크를 활용해 좋은 전통주 발굴에 나선다. 26일부터 머루... 않은 전통주에 대한 문의를 진행한다. 추천받은 전통주를 사내 소모임 GS25전통주발굴단을 통해 품평회를 거치며...
820,2020.11.25.,헤럴드경제,"판로 막힌 지역 양조장…GS25, 전국 네트워크 활용 지역 전통주 발굴한다",이에 편의점 GS25가 전국 소규모 양조장의 전통주 발굴 및 홍보에 나선다. GS25는 전국 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나선다고 25일 밝혔다. 발굴을 위해서 먼저 오프라인...
821,2020.11.25.,뉴스브라이트,"GS25, 전국 오프라인 네트워크 활용해, 전통주 발굴에 나섰다",© 김건우 GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점 GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나서...
822,2020.11.25.,메디컬투데이,"GS25, 전북 무주 머루로 만든 전통 소주 ‘밤빛머루’ 출시","만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점 GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나서, 이달 26일부터 머루 증류액을 사용한..."
823,2020.11.25.,한국일보,전통주 찾아 나선 편의점 영업맨들…주류 판로 뚫는다,GS25가 이 오프라인 점포 네트워크를 활용해 전통주 판로 개척에 도전한다. 지역별 유망 전통주를 발굴해 소비자들에겐 다양한 선택권을 제공하고 신종 코로나바이러스 감염증(코로나19) 여파로 어려움을 겪는...
824,2020.11.25.,EBN,GS25 전북 무주 머루로 만든 전통 소주 '밤빛머루' 선봬,GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점 GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나서 26일부터...
825,2020.11.25.,EBN,골든블루 숙성 증류주 '혼' 홈플러스 신규 입점,"특히 이번에 대형 유통망인 ‘홈플러스’ 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 ‘혼’을 적극적으로 입점시켜 전국 소비자들이 ‘혼’을 접할 수 있는 기회를 늘려가겠다는 방침이다...."
826,2020.11.25.,파이낸셜뉴스,"GS25, 전북 무주 머루주 '밤빛머루' 출시…전통주 발굴",GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS25는 머루 증류액을 사용한 '밤빛머루360ML'를 선보인다고 25일 밝혔다. GS25는 오프라인 점포를 지도하는 영업 담당 직원들을 통해 전통주...
827,2020.11.25.,아시아타임즈,[25일 유통가 소식] 오리온·CJ오쇼핑·bhc치킨·정관장·골든블루·오비맥주...,"특히, 이번에 대형 유통망인 ‘홈플러스’ 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 ‘혼’을 적극적으로 입점시켜 전국 소비자들이 ‘혼’을 접할 수 있는 기회를 늘려가겠다는 방침이다...."
828,2020.11.25.,핀포인트뉴스,"GS25, 무주 머루로 만든 ‘밤빛머루’ 전통소주 출시","22년말까지 다양한 지역 전통주 발굴 나서, 약 10종 추가 선보일 계획 GS25는 이달 26일부터 머루 증류액을... 이번 출시는 GS25가 전국에 위치한 오프라인 점포 네트워크를 기반으로 전통주 발굴에 나서면서부터다. 향후..."
829,2020.11.25.,FETV,"GS25, 전통주 발굴 앞장...전북 무주 전통 소주 ‘밤빛머루’ 출시",사내 소모임 GS25전통주발굴단이 제안하는 전통 소주 22년말까지 지역 전통주 약 10종 추가 선보일 계획  GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점...
830,2020.11.25.,에너지경제,프리미엄 숙성 증류주 ‘혼’ 홈플러스 신규 입점,"특히, 이번에 대형 유통망인 ‘홈플러스’ 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 ‘혼’을 적극적으로 입점시켜 전국 소비자들이 ‘혼’을 접할 수 있는 기회를 늘려가겠다는 방침이다. 제품..."
831,2020.11.25.,e대한경제,"프리미엄 숙성 증류주 ‘혼’, 홈플러스 신규 입점","홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 적극적으로 입점할 계획이다. 골든블루 김동욱 대표는 “가정 주류 시장은 몇 년 전부터 지속적으로 커져, 이제는 전체 시장에서 높은 비중을..."
832,2020.11.25.,서울경제,"프리미엄 숙성 증류주 ‘혼’, 홈플러스 신규 입점","특히 이번에 대형 유통망인 홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 ‘혼’을 적극적으로 입점시켜 전국 소비자들이 ‘혼’을 접할 수 있는 기회를 늘려가겠다는 방침이다. 김동욱..."
833,2020.11.25.,한국농어민신문,"‘전량 수입’ 증류주 숙성용 오크통, 국산 참나무류로 만든다",이 같은 결과는 산림과학원과 한국식품연구원이 국산 참나무류의 고부가가치 기술개발을 위해 ‘전통주 숙성용 목통 제작 기술 및 국산화 기반 구축 연구’를 함께 공동연구를 수행한 결과라고...
834,2020.11.25.,한국농어민신문,60년 전통 제천 누룩공장 중앙곡자 ‘철거 위기’,가운데 전통주 업계는 누룩 공장의 문화적 가치를 보존해야 한다며 철거를 반대하고 있다. 충청북도... 전통주 업계에 따르면 1920년대 3만여 곳에 달했던 누룩 공장 중 현재 남은 곳은 진주곡자...
835,2020.11.25.,뉴시스,"프리미엄 숙성 증류주 '혼', 홈플러스 신규 입점","특히 홈플러스 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 '혼'을 적극적으로 입점시켜 전국 소비자들이 '혼'을 접할 수 있는 기회를 늘릴 예정이다. 골든블루 김동욱 대표는 ""가정 주류 시장은 몇..."
836,2020.11.25.,이코노뉴스,"프리미엄 숙성 증류주 '혼', 홈플러스 신규 입점","특히, 이번에 대형 유통망인 '홈플러스' 전국 매장 입점을 시작으로 대형마트와 편의점, 전통주 전문점 등에 '혼'을 적극적으로 입점시켜 전국 소비자들이 '혼'을 접할 수 있는 기회를 늘려가겠다는 방침이다. 골든블루..."
837,2020.11.25.,아시아경제,"GS리테일, 2022년까지 전통주 10개 발굴한다",편의점 GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는... 밤빛머루는 전국 오프라인 점포 네트워크를 활용해 발굴한 전통주다. GS25 전통주 발굴은 먼저 오프라인...
838,2020.11.25.,신아일보,"'전통주' 기 살리기 나선 GS25, 2022년까지 10개 명주 발굴","활용한 전통주 발굴에 나선 가운데, 이달 26일부터 머루 증류액을 사용한 무주산 ‘밤빛머루(360밀리리, ㎖)’를 출시한다고 25일 밝혔다. GS25는 사내소모임을 통해 별도의 전통주발굴단(이하 G전발)을 조직하고..."
839,2020.11.25.,싱글리스트,"GS25, 전통주 맛집 등극...전국 네트워크 활용 발굴",편의점 GS25가 전국에 있는 소규모 양조장에서 만드는 전통주 홍보 동반자로 나선다. GS리테일이 운영하는 편의점 GS25는 전국에 위치한 오프라인 점포 네트워크를 활용한 정보를 바탕으로 좋은 전통주 발굴에 나서...
840,2020.11.25.,세계일보,막걸리 광고가 360만 조회수?… “힙하고 젊어진 광고에 눈길 쏠려”,"전통주인 막걸리를 만드는 양조장이지만, 막걸리만 예스러울 뿐 다른 것들은 세련됐다. 막걸리병은... 명 교수는 “한강주조는 막걸리라는 전통주를 생산하지만, 생산물에서 ‘젊음’을 추구하고 있다”며 “이번 광고..."
841,2020.11.25.,에스콰이어,'한끗'이 다른 신제품 막걸리 7병,전통주양조장 같이 연희민트 양조장 같이는 가양주의 젊은 대가 최우택 대표의 새 보금자리다. 첫 제품인 연희매화는 온갖 대회에서 상을 휩쓴 바 있는 매화주를 응용한 술. 그리고 연희민트는 이 양조장의 또 다른...
842,2020.11.24.,경북신문,"김천시, 언택트 트렌드 `귀농·촌 홍보영상` 제작","이 영상은 김천에 정착, 전통주와 천연발효식초를 빚는 명인 정현선씨와 된장 등 발효음식을 6차산업화 한 비즈니스전문가 임미숙씨, 자두를 재배해 체험농장으로 발전시킨 청년농부 여득기씨, 샤인마스켓을 생산부터..."
